#,Name,Message,Event Title,Date,Time,Location
490,Grace,just a heads up—can we move project check-in to 14:00 instead?,Project Check-In,"March 14, 2025",13:00,Library Level 3
491,Jay,is TechBlock 4 still on at project check-in or changed?,Project Check-In,"March 10, 2025",16:00,TechBlock 4
492,Farhan,just a heads up—can we move midterm review to 13:00 instead?,Midterm Review,"March 30, 2025",12:00,Main Atrium
493,Farhan,we still on for the capstone sync-up tmr?,Capstone Sync-Up,"March 12, 2025",09:00,BrewPoint Café
494,Farhan,we still on for the project check-in tmr?,Project Check-In,"March 29, 2025",09:00,Innovation Lab 2
495,Grace,meeting at BrewPoint Café for the club hangout right?,Club Hangout,"March 25, 2025",13:00,BrewPoint Café
496,Elena,"yo, what time was midterm review again?",Midterm Review,"March 17, 2025",14:00,Seminar Room B
497,Isla,we still on for the assignment sprint tmr?,Assignment Sprint,"March 13, 2025",14:00,Seminar Room B
498,Diana,meeting at Science Hub for the club hangout right?,Club Hangout,"March 16, 2025",14:00,Science Hub
499,Diana,assignment sprint happening tmr or pushed?,Assignment Sprint,"March 26, 2025",13:00,Courtyard Benches
500,Ben,"yo, what time was brainstorm bash again?",Brainstorm Bash,"March 15, 2025",15:00,BrewPoint Café
501,Isla,meeting at Library Level 3 for the group research meet right?,Group Research Meet,"March 8, 2025",19:00,Library Level 3
502,Grace,is Library Level 3 still on at study jam or changed?,Study Jam,"March 16, 2025",12:00,Library Level 3
503,Haruto,we still on for the assignment sprint tmr?,Assignment Sprint,"March 31, 2025",13:00,Seminar Room B
504,Ben,final touch meeting happening tmr or pushed?,Final Touch Meeting,"March 31, 2025",11:00,Library Level 3
505,Farhan,"yo, what time was club hangout again?",Club Hangout,"March 8, 2025",13:00,Library Level 3
506,Jay,let’s meet up by TechBlock 4 for the project check-in,Project Check-In,"March 19, 2025",10:00,TechBlock 4
507,Isla,"i’ll be a lil late for the study jam, save me a spot!",Study Jam,"March 9, 2025",11:00,Science Hub
508,Aisha,"i’ll be a lil late for the midterm review, save me a spot!",Midterm Review,"March 9, 2025",12:00,Innovation Lab 2
509,Diana,let’s meet up by Seminar Room B for the project check-in,Project Check-In,"March 15, 2025",20:00,Seminar Room B
510,Ben,is Main Atrium still on at midterm review or changed?,Midterm Review,"March 11, 2025",14:00,Main Atrium
511,Diana,we still on for the study jam tmr?,Study Jam,"March 12, 2025",13:00,Main Atrium
512,Diana,meeting at Innovation Lab 2 for the assignment sprint right?,Assignment Sprint,"March 27, 2025",12:00,Innovation Lab 2
513,Jay,just a heads up—can we move project check-in to 14:00 instead?,Project Check-In,"March 28, 2025",12:00,BrewPoint Café
514,Elena,hey! still good for Library Level 3 at capstone sync-up?,Capstone Sync-Up,"March 28, 2025",15:00,Library Level 3
515,Farhan,hey! still good for Science Hub at final touch meeting?,Final Touch Meeting,"March 13, 2025",14:00,Science Hub
516,Carlos,can we do group research meet a bit later? maybe 11:00?,Group Research Meet,"March 30, 2025",09:00,Science Hub
517,Diana,we still on for the club hangout tmr?,Club Hangout,"March 31, 2025",09:00,BrewPoint Café
518,Elena,just a heads up—can we move project check-in to 14:00 instead?,Project Check-In,"March 21, 2025",12:00,Seminar Room B
519,Haruto,hey! still good for TechBlock 4 at final touch meeting?,Final Touch Meeting,"March 24, 2025",19:00,TechBlock 4
520,Haruto,meeting at Courtyard Benches for the final touch meeting right?,Final Touch Meeting,"March 10, 2025",16:00,Courtyard Benches
521,Ben,"yo, what time was midterm review again?",Midterm Review,"March 8, 2025",19:00,Seminar Room B
522,Grace,let’s meet up by Seminar Room B for the club hangout,Club Hangout,"March 18, 2025",18:00,Seminar Room B
523,Ben,"yo, what time was group research meet again?",Group Research Meet,"March 19, 2025",20:00,Courtyard Benches
524,Grace,"yo, what time was project check-in again?",Project Check-In,"March 15, 2025",13:00,Science Hub
525,Diana,hey! still good for TechBlock 4 at capstone sync-up?,Capstone Sync-Up,"March 10, 2025",17:00,TechBlock 4
526,Farhan,study jam happening tmr or pushed?,Study Jam,"March 21, 2025",12:00,Courtyard Benches
527,Carlos,"i’ll be a lil late for the assignment sprint, save me a spot!",Assignment Sprint,"March 11, 2025",12:00,TechBlock 4
528,Ben,let’s meet up by Science Hub for the club hangout,Club Hangout,"March 15, 2025",10:00,Science Hub
529,Isla,meeting at Seminar Room B for the project check-in right?,Project Check-In,"March 22, 2025",12:00,Seminar Room B
530,Jay,group research meet happening tmr or pushed?,Group Research Meet,"March 17, 2025",10:00,TechBlock 4
531,Carlos,let’s meet up by Courtyard Benches for the project check-in,Project Check-In,"March 18, 2025",20:00,Courtyard Benches
532,Haruto,meeting at Seminar Room B for the club hangout right?,Club Hangout,"March 22, 2025",10:00,Seminar Room B
533,Grace,is Courtyard Benches still on at capstone sync-up or changed?,Capstone Sync-Up,"March 21, 2025",17:00,Courtyard Benches
534,Jay,we still on for the final touch meeting tmr?,Final Touch Meeting,"March 12, 2025",17:00,BrewPoint Café
535,Grace,final touch meeting happening tmr or pushed?,Final Touch Meeting,"March 28, 2025",10:00,Innovation Lab 2
536,Jay,we still on for the project check-in tmr?,Project Check-In,"March 20, 2025",12:00,BrewPoint Café
537,Isla,meeting at Science Hub for the project check-in right?,Project Check-In,"March 21, 2025",20:00,Science Hub
538,Diana,can we do brainstorm bash a bit later? maybe 13:00?,Brainstorm Bash,"March 24, 2025",12:00,Courtyard Benches
539,Isla,hey! still good for Science Hub at group research meet?,Group Research Meet,"March 10, 2025",18:00,Science Hub
540,Ben,let’s meet up by Seminar Room B for the final touch meeting,Final Touch Meeting,"March 30, 2025",20:00,Seminar Room B
541,Carlos,is Innovation Lab 2 still on at midterm review or changed?,Midterm Review,"March 24, 2025",15:00,Innovation Lab 2
542,Carlos,"yo, what time was final touch meeting again?",Final Touch Meeting,"March 11, 2025",11:00,Innovation Lab 2
543,Jay,meeting at Main Atrium for the brainstorm bash right?,Brainstorm Bash,"March 12, 2025",15:00,Main Atrium
544,Aisha,hey! still good for Seminar Room B at club hangout?,Club Hangout,"March 12, 2025",19:00,Seminar Room B
545,Grace,"yo, what time was project check-in again?",Project Check-In,"March 31, 2025",17:00,Seminar Room B
546,Isla,let’s meet up by Main Atrium for the project check-in,Project Check-In,"March 12, 2025",14:00,Main Atrium
547,Aisha,"yo, what time was study jam again?",Study Jam,"March 18, 2025",20:00,TechBlock 4
548,Elena,"i’ll be a lil late for the group research meet, save me a spot!",Group Research Meet,"March 10, 2025",15:00,Seminar Room B
549,Jay,let’s meet up by Innovation Lab 2 for the brainstorm bash,Brainstorm Bash,"March 31, 2025",12:00,Innovation Lab 2
550,Haruto,we still on for the assignment sprint tmr?,Assignment Sprint,"March 28, 2025",13:00,Innovation Lab 2
551,Elena,let’s meet up by Library Level 3 for the group research meet,Group Research Meet,"March 21, 2025",13:00,Library Level 3
552,Grace,we still on for the group research meet tmr?,Group Research Meet,"March 19, 2025",15:00,Courtyard Benches
553,Aisha,hey! still good for Library Level 3 at final touch meeting?,Final Touch Meeting,"March 31, 2025",13:00,Library Level 3
554,Isla,let’s meet up by Innovation Lab 2 for the capstone sync-up,Capstone Sync-Up,"March 18, 2025",09:00,Innovation Lab 2
555,Diana,hey! still good for Main Atrium at club hangout?,Club Hangout,"March 21, 2025",10:00,Main Atrium
556,Aisha,can we do midterm review a bit later? maybe 15:00?,Midterm Review,"March 25, 2025",13:00,TechBlock 4
557,Isla,we still on for the group research meet tmr?,Group Research Meet,"March 21, 2025",15:00,Seminar Room B
558,Elena,"i’ll be a lil late for the midterm review, save me a spot!",Midterm Review,"March 25, 2025",16:00,TechBlock 4
559,Carlos,hey! still good for Seminar Room B at club hangout?,Club Hangout,"March 10, 2025",20:00,Seminar Room B
560,Isla,hey! still good for Main Atrium at project check-in?,Project Check-In,"March 17, 2025",11:00,Main Atrium
561,Carlos,can we do group research meet a bit later? maybe 20:00?,Group Research Meet,"March 29, 2025",18:00,Science Hub
562,Jay,let’s meet up by BrewPoint Café for the group research meet,Group Research Meet,"March 10, 2025",20:00,BrewPoint Café
563,Jay,let’s meet up by Main Atrium for the assignment sprint,Assignment Sprint,"March 20, 2025",16:00,Main Atrium
564,Carlos,"i’ll be a lil late for the study jam, save me a spot!",Study Jam,"March 19, 2025",14:00,Courtyard Benches
565,Grace,hey! still good for Library Level 3 at project check-in?,Project Check-In,"March 12, 2025",16:00,Library Level 3
566,Elena,is Library Level 3 still on at group research meet or changed?,Group Research Meet,"March 25, 2025",20:00,Library Level 3
567,Farhan,just a heads up—can we move project check-in to 20:00 instead?,Project Check-In,"March 25, 2025",19:00,TechBlock 4
568,Jay,let’s meet up by TechBlock 4 for the assignment sprint,Assignment Sprint,"March 17, 2025",09:00,TechBlock 4
569,Grace,"yo, what time was midterm review again?",Midterm Review,"March 10, 2025",20:00,TechBlock 4
570,Carlos,let’s meet up by Courtyard Benches for the capstone sync-up,Capstone Sync-Up,"March 18, 2025",16:00,Courtyard Benches
571,Aisha,meeting at Courtyard Benches for the assignment sprint right?,Assignment Sprint,"March 23, 2025",19:00,Courtyard Benches
572,Jay,hey! still good for Seminar Room B at midterm review?,Midterm Review,"March 31, 2025",13:00,Seminar Room B
573,Jay,can we do final touch meeting a bit later? maybe 17:00?,Final Touch Meeting,"March 10, 2025",15:00,Innovation Lab 2
574,Diana,meeting at Seminar Room B for the project check-in right?,Project Check-In,"March 10, 2025",09:00,Seminar Room B
575,Elena,meeting at BrewPoint Café for the final touch meeting right?,Final Touch Meeting,"March 20, 2025",17:00,BrewPoint Café
576,Jay,hey! still good for Courtyard Benches at final touch meeting?,Final Touch Meeting,"March 17, 2025",16:00,Courtyard Benches
577,Carlos,club hangout happening tmr or pushed?,Club Hangout,"March 17, 2025",14:00,TechBlock 4
578,Jay,can we do final touch meeting a bit later? maybe 15:00?,Final Touch Meeting,"March 25, 2025",14:00,Courtyard Benches
579,Jay,study jam happening tmr or pushed?,Study Jam,"March 29, 2025",18:00,Courtyard Benches
580,Carlos,meeting at TechBlock 4 for the final touch meeting right?,Final Touch Meeting,"March 29, 2025",20:00,TechBlock 4
581,Diana,is Courtyard Benches still on at final touch meeting or changed?,Final Touch Meeting,"March 18, 2025",16:00,Courtyard Benches
582,Grace,"i’ll be a lil late for the group research meet, save me a spot!",Group Research Meet,"March 12, 2025",11:00,Science Hub
583,Ben,we still on for the assignment sprint tmr?,Assignment Sprint,"March 17, 2025",11:00,Innovation Lab 2
584,Isla,let’s meet up by BrewPoint Café for the club hangout,Club Hangout,"March 30, 2025",19:00,BrewPoint Café
585,Jay,"i’ll be a lil late for the group research meet, save me a spot!",Group Research Meet,"March 17, 2025",16:00,Seminar Room B
586,Jay,is Courtyard Benches still on at midterm review or changed?,Midterm Review,"March 9, 2025",16:00,Courtyard Benches
587,Ben,let’s meet up by Library Level 3 for the final touch meeting,Final Touch Meeting,"March 8, 2025",13:00,Library Level 3
588,Jay,can we do club hangout a bit later? maybe 16:00?,Club Hangout,"March 22, 2025",14:00,Innovation Lab 2
589,Jay,let’s meet up by TechBlock 4 for the midterm review,Midterm Review,"March 10, 2025",11:00,TechBlock 4
590,Isla,"i’ll be a lil late for the assignment sprint, save me a spot!",Assignment Sprint,"March 10, 2025",16:00,Courtyard Benches
591,Jay,let’s meet up by Courtyard Benches for the final touch meeting,Final Touch Meeting,"March 26, 2025",20:00,Courtyard Benches
592,Elena,we still on for the project check-in tmr?,Project Check-In,"March 14, 2025",12:00,Seminar Room B
593,Diana,let’s meet up by Science Hub for the assignment sprint,Assignment Sprint,"March 11, 2025",18:00,Science Hub
594,Aisha,meeting at Library Level 3 for the project check-in right?,Project Check-In,"March 17, 2025",14:00,Library Level 3
595,Elena,just a heads up—can we move study jam to 16:00 instead?,Study Jam,"March 15, 2025",15:00,BrewPoint Café
596,Ben,hey! still good for Seminar Room B at midterm review?,Midterm Review,"March 31, 2025",11:00,Seminar Room B
597,Grace,hey! still good for Innovation Lab 2 at club hangout?,Club Hangout,"March 9, 2025",17:00,Innovation Lab 2
598,Farhan,can we do midterm review a bit later? maybe 15:00?,Midterm Review,"March 28, 2025",13:00,Main Atrium
599,Diana,"yo, what time was brainstorm bash again?",Brainstorm Bash,"March 15, 2025",20:00,Science Hub
600,Farhan,we still on for the group research meet tmr?,Group Research Meet,"March 26, 2025",18:00,Courtyard Benches
601,Haruto,we still on for the assignment sprint tmr?,Assignment Sprint,"March 26, 2025",17:00,Seminar Room B
602,Carlos,is Seminar Room B still on at brainstorm bash or changed?,Brainstorm Bash,"March 15, 2025",14:00,Seminar Room B
603,Jay,can we do group research meet a bit later? maybe 15:00?,Group Research Meet,"March 30, 2025",13:00,Main Atrium
604,Grace,we still on for the midterm review tmr?,Midterm Review,"March 31, 2025",11:00,Science Hub
605,Grace,we still on for the assignment sprint tmr?,Assignment Sprint,"March 23, 2025",12:00,Library Level 3
606,Carlos,hey! still good for TechBlock 4 at project check-in?,Project Check-In,"March 14, 2025",16:00,TechBlock 4
607,Carlos,let’s meet up by Main Atrium for the capstone sync-up,Capstone Sync-Up,"March 20, 2025",14:00,Main Atrium
608,Farhan,we still on for the final touch meeting tmr?,Final Touch Meeting,"March 8, 2025",15:00,Innovation Lab 2
609,Isla,can we do project check-in a bit later? maybe 17:00?,Project Check-In,"March 25, 2025",16:00,Library Level 3
610,Elena,hey! still good for Science Hub at assignment sprint?,Assignment Sprint,"March 19, 2025",18:00,Science Hub
